t,theta,omega
14.15,19.5572,0.87182
14.1667,19.5717,0.760983
14.1833,19.5844,0.859875
14.2,19.5987,0.931726
14.2167,19.6143,0.877821
14.2333,19.6289,0.888597
14.25,19.6437,0.873806
14.2667,19.6583,1.04082
14.2833,19.6756,0.823884
14.3,19.6893,0.967908
14.3167,19.7055,0.997162
14.3333,19.7221,0.980683
14.35,19.7384,1.03021
14.3667,19.7556,0.914937
14.3833,19.7708,0.975896
14.4,19.7871,1.02206
14.4167,19.8041,0.961862
14.4333,19.8202,1.09427
14.45,19.8384,1.07545
14.4667,19.8563,1.11625
14.4833,19.8749,0.980632
14.5,19.8913,1.09791
14.5167,19.9096,1.07813
14.5333,19.9276,1.15793
14.55,19.9469,1.09553
14.5667,19.9651,1.23332
14.5833,19.9857,1.10141
14.6,20.004,1.21623
14.6167,20.0243,1.16339
14.6333,20.0437,1.13387
14.65,20.0626,1.2521
14.6667,20.0835,1.19599
14.6833,20.1034,1.27901
14.7,20.1247,1.2533
14.7167,20.1456,1.29713
14.7333,20.1672,1.24549
14.75,20.188,1.24551
14.7667,20.2087,1.40187
14.7833,20.2321,1.37631
14.8,20.255,1.22021
14.8167,20.2754,1.40545
14.8333,20.2988,1.3195
14.85,20.3208,1.49964
14.8667,20.3458,1.44371
14.8833,20.3698,1.32397
14.9,20.3919,1.53284
14.9167,20.4175,1.48585
14.9333,20.4422,1.29959
14.95,20.4639,1.5599
14.9667,20.4899,1.50061
14.9833,20.5149,1.47248
15,20.5394,1.48573
15.0167,20.5642,1.6717
15.0333,20.592,1.57776
15.05,20.6183,1.5016
15.0667,20.6434,1.52701
15.0833,20.6688,1.68492
15.1,20.6969,1.55605
15.1167,20.7228,1.61156
15.1333,20.7497,1.72354
15.15,20.7784,1.55705
15.1667,20.8044,1.63232
15.1833,20.8316,1.65051
15.2,20.8591,1.83341
15.2167,20.8896,1.63161
15.2333,20.9168,1.73572
15.25,20.9458,1.61528
15.2667,20.9727,1.7918
15.2833,21.0026,1.76072
15.3,21.0319,1.62794
15.3167,21.059,1.80685
15.3333,21.0891,1.81127
15.35,21.1193,1.7184
15.3667,21.148,1.82469
15.3833,21.1784,1.74336
15.4,21.2074,1.91078
15.4167,21.2393,1.8222
15.4333,21.2697,1.73654
15.45,21.2986,1.8176
15.4667,21.3289,1.90736
15.4833,21.3607,1.76571
15.5,21.3901,1.80495
15.5167,21.4202,1.91704
15.5333,21.4521,1.85271
15.55,21.483,1.83903
15.5667,21.5137,1.90375
15.5833,21.5454,1.83092
15.6,21.5759,2.01593
15.6167,21.6095,1.89438
15.6333,21.6411,1.86119
15.65,21.6721,1.80954
15.6667,21.7023,1.88128
15.6833,21.7336,1.93844
15.7,21.7659,1.78829
15.7167,21.7957,1.97907
15.7333,21.8287,1.89307
15.75,21.8603,1.95825
15.7667,21.8929,1.87495
15.7833,21.9242,1.92129
15.8,21.9562,1.74304
15.8167,21.9852,1.93853
15.8333,22.0175,1.92507
15.85,22.0496,1.89648
15.8667,22.0812,1.86952
15.8833,22.1124,2.00308
15.9,22.1458,1.72857
15.9167,22.1746,1.93609
15.9333,22.2068,1.86135
15.95,22.2379,1.82309
