frame,r_status,r_x,r_y,t_status,t_id,t_x,t_y,theta_deg,n_clusters,n_lit
293,detected,694.4,662.5,lost,19,639.0,613.1,,5,2
294,detected,597.2,650.2,lost,19,630.0,610.4,,5,2
295,detected,552.8,643.7,lost,19,621.0,607.7,,5,1
296,detected,533.2,639.9,lost,19,612.1,605.0,,6,2
297,detected,525.1,637.4,lost,19,603.1,602.3,,6,1
298,detected,522.3,636.6,lost,19,594.1,599.6,,6,1
299,detected,521.6,636.8,lost,19,589.6,598.2,,7,2
300,detected,521.8,637.4,lost,19,585.1,596.9,,5,2
301,estimated,522.5,638.2,lost,19,580.6,595.5,,6,1
302,estimated,523.6,639.1,lost,19,576.1,594.2,,4,1
303,detected,524.1,641.8,detected,24,515.8,598.0,100.7,5,0
304,detected,524.9,644.9,detected,24,515.4,599.6,101.8,5,0
305,detected,525.7,647.5,detected,24,515.1,600.6,102.7,5,0
306,detected,526.4,649.2,detected,24,514.9,601.2,103.4,5,0
307,estimated,527.5,650.4,detected,24,515.8,608.2,105.6,4,0
308,estimated,528.7,651.6,detected,24,516.4,613.1,107.7,4,1
309,estimated,529.9,652.8,detected,24,517.1,616.6,109.4,4,1
310,estimated,530.9,654.2,detected,24,517.7,622.7,112.8,4,0
311,estimated,531.9,655.5,detected,24,517.9,627.0,116.2,4,0
312,estimated,532.9,657.0,detected,24,518.3,631.2,119.5,3,0
313,estimated,533.8,658.4,detected,24,522.1,632.8,114.6,4,0
314,estimated,534.7,659.9,detected,24,521.2,636.1,119.6,6,0
315,estimated,535.7,661.3,detected,24,520.5,638.9,124.1,5,0
316,estimated,536.6,662.8,detected,24,520.0,641.9,128.5,4,1
317,estimated,537.6,664.4,detected,24,523.2,642.1,122.7,3,0
318,estimated,538.5,666.0,detected,24,521.9,645.2,128.6,4,1
319,estimated,539.3,667.7,detected,24,520.9,651.1,137.9,4,1
320,estimated,540.0,669.6,detected,24,519.0,655.9,147.0,5,1
321,estimated,540.7,671.5,detected,24,522.2,658.2,144.3,5,0
322,detected,534.8,670.1,lost,24,522.9,664.8,,7,1
323,detected,532.4,675.0,lost,24,523.7,671.4,,6,1
324,detected,531.7,681.2,lost,24,524.4,678.0,,7,1
325,estimated,532.9,683.3,lost,24,525.2,684.6,,8,0
326,estimated,534.0,685.1,lost,24,525.9,691.2,,7,0
327,estimated,535.2,686.8,lost,24,526.7,697.9,,8,0
328,estimated,536.3,688.4,lost,24,527.4,704.5,,7,0
329,estimated,537.4,690.0,lost,24,528.2,711.1,,7,0
330,estimated,538.8,691.5,lost,24,529.0,717.7,,6,0
331,estimated,540.4,693.0,lost,24,529.7,724.3,,8,2
332,estimated,542.2,694.3,lost,24,530.1,727.6,,9,2
333,estimated,544.1,695.4,lost,24,530.5,730.9,,9,3
334,detected,672.4,722.0,lost,24,530.8,734.2,,7,3
335,detected,740.7,735.3,lost,24,531.2,737.5,,7,3
336,detected,777.6,741.8,detected,26,758.0,592.6,97.5,7,1
337,detected,801.0,741.6,detected,26,761.8,587.0,104.2,6,0
338,detected,816.3,738.6,detected,26,765.1,581.5,108.1,7,1
339,detected,826.7,734.9,detected,26,767.7,578.5,110.6,9,0
340,detected,834.6,730.5,detected,26,770.2,574.3,112.4,6,0
341,detected,840.6,726.4,detected,26,771.8,570.7,113.8,6,0
342,detected,845.2,722.8,detected,26,773.9,570.6,115.1,6,2
343,detected,848.9,719.7,detected,26,775.3,567.4,115.8,8,1
