Frame 434 | R=(655.24,666.166) | targets=1 [(814.5,734.5) r=12.1038]
Frame 435 | R=(650.326,653.8) | targets=1 [(811.5,732.5) r=12.7476]
Frame 436 | R=(653.482,661.13) | targets=1 [(810.735,732.265) r=12.0255]
Frame 437 | R=(651.774,645.624) | targets=1 [(807.9,731.9) r=12.1829]
Frame 438 | R=(651.727,657.733) | targets=1 [(806.711,732.5) r=12.1707]
Frame 439 | R=(651.426,661.258) | targets=1 [(805,736) r=12.0417]
Frame 440 | R=(651.328,649.707) | targets=1 [(805.5,737.5) r=12.1038]
Frame 441 | R=(647.332,656.132) | targets=1 [(805.5,737.5) r=12.1038]
Frame 442 | R=(651.104,657.135) | targets=1 [(802,736.5) r=12.3795]
Frame 443 | R=(646.13,652.834) | targets=1 [(801.5,736) r=12.4198]
Frame 444 | R=(644.896,650.657) | targets=1 [(798,736) r=12.2067]
Frame 445 | R=(669.417,632.317) | targets=1 [(796.456,736.294) r=12.1982]
Frame 446 | R=(668.242,631.663) | targets=1 [(795,736) r=12.0417]
Frame 447 | R=(640.423,645.119) | targets=1 [(790.5,738.5) r=12.1038]
Frame 448 | R=(661.906,630.604) | targets=1 [(788.559,738.441) r=12.0212]
Frame 449 | R=(645.796,635.616) | targets=1 [(787.9,737.9) r=12.1829]
Frame 450 | R=(638.075,642.783) | targets=1 [(784.711,738.5) r=12.1707]
Frame 451 | R=(644.253,631.985) | targets=1 [(782.711,738.5) r=12.1707]
Frame 452 | R=(644.25,631.941) | targets=1 [(781.5,739) r=12.4198]
Frame 453 | R=(642.756,644.647) | targets=1 [(781.5,739.5) r=12.1038]
Frame 454 | R=(638.571,641.783) | targets=1 [(780,740.5) r=12.3795]
Frame 455 | R=(644.169,632.618) | targets=1 [(779.5,742.5) r=12.1038]
Frame 456 | R=(644.491,632.343) | targets=1 [(777.89,743.994) r=12.1202]
Frame 457 | R=(636.194,644.926) | targets=1 [(774.711,748.5) r=12.1707]
Frame 458 | R=(643.092,636.251) | targets=1 [(773.105,751) r=12.1206]
Frame 459 | R=(634.042,646.931) | targets=1 [(771.105,753) r=12.1206]
Frame 460 | R=(707.195,712.22) | targets=0
Frame 461 | R=(638.22,651.875) | targets=1 [(767.105,754) r=12.1206]
Frame 462 | R=(705.584,712.521) | targets=0
Frame 463 | R=(705.584,712.521) | targets=0
Frame 464 | R=(705.584,712.521) | targets=0
Frame 465 | R=(705.584,712.521) | targets=0
Frame 466 | R=(638.042,655.631) | targets=1 [(759.942,762.525) r=12.4388]
Frame 467 | R=(652.637,706.372) | targets=0
Frame 468 | R=(729.742,687.1) | targets=1 [(968.635,736.095) r=9.69722]
Frame 469 | R=(670.321,599.358) | targets=0
Frame 470 | R=(658.765,603.75) | targets=0
Frame 471 | R=(733.488,613.69) | targets=0
Frame 472 | R=(711.066,590.508) | targets=0
Frame 473 | R=(729.74,591.027) | targets=3 [(692.5,947.5) r=21.645] [(636,946) r=23.3453] [(565.193,524.859) r=12.7674]
Frame 474 | R=(760.16,549.595) | targets=1 [(542.5,514.5) r=12.3492]
Frame 475 | R=(727.169,523.97) | targets=1 [(522.5,488.5) r=12.3492]
Frame 476 | R=(740.297,548.828) | targets=1 [(513.663,473.519) r=12.2208]
Frame 477 | R=(727.059,535.802) | targets=1 [(502,457) r=12.2067]
Frame 478 | R=(725.88,532.655) | targets=1 [(500,452.5) r=11.927]
Frame 479 | R=(727.198,530.482) | targets=1 [(501.5,449.5) r=12.1038]
Frame 480 | R=(724.207,529.902) | targets=1 [(499.895,446) r=12.1206]
Frame 481 | R=(725.949,532.909) | targets=1 [(501.5,447.5) r=12.1038]
Frame 482 | R=(735.099,535.581) | targets=1 [(511.895,448) r=12.1206]
Frame 483 | R=(736.771,541.061) | targets=1 [(515.5,451) r=11.8005]
Frame 484 | R=(738.261,544.96) | targets=1 [(516.5,454.5) r=12.3492]
Frame 485 | R=(745.14,553.399) | targets=1 [(523.79,460.758) r=11.7215]
Frame 486 | R=(731.48,519.197) | targets=1 [(525.5,465.5) r=12.1038]
Frame 487 | R=(747.231,567.726) | targets=1 [(527.89,471.993) r=12.1202]
Frame 488 | R=(723.946,529.103) | targets=1 [(533.5,475.5) r=12.1038]
Frame 489 | R=(752.97,576.597) | targets=1 [(534,477) r=12.0417]
Frame 490 | R=(752.879,582.444) | targets=1 [(535.5,479.5) r=12.1038]
Frame 491 | R=(752.816,585.108) | targets=1 [(536.5,481) r=11.8005]
Frame 492 | R=(753.21,586.153) | targets=1 [(537.5,479.5) r=12.1038]
Frame 493 | R=(752.89,587.839) | targets=1 [(538,480) r=12.2067]
Frame 494 | R=(752.921,587.504) | targets=1 [(539.213,478.081) r=11.5221]
Frame 495 | R=(755.601,585.162) | targets=1 [(542.288,473.712) r=11.8059]
Frame 496 | R=(755.172,583.825) | targets=1 [(543.5,471.5) r=12.1038]
Frame 497 | R=(757.179,585.084) | targets=1 [(543.735,469.092) r=11.9369]
Frame 498 | R=(754.262,583.308) | targets=1 [(544,467.5) r=11.927]
